period,LOCK_UNLOCK_INITIATOR,STATE,num_of_unlocks,pct
2024-10-01,SUPPORT,UNLOCKED,166,31.86
2024-10-01,TIME,UNLOCKED,355,68.14
2024-11-01,CUSTOMER,UNLOCKED,1167,14.59
2024-11-01,SUPPORT,UNLOCKED,2133,26.68
2024-11-01,TIME,UNLOCKED,4696,58.73
2024-12-01,CHATBOT,UNLOCKED,866,8.1
2024-12-01,CUSTOMER,UNLOCKED,230,2.15
2024-12-01,INTERACTIVE_VOICE_RESPONSE,UNLOCKED,1222,11.43
2024-12-01,SUPPORT,UNLOCKED,1117,10.45
2024-12-01,TIME,UNLOCKED,7254,67.86
2025-01-01,CHATBOT,UNLOCKED,762,11.53
2025-01-01,CUSTOMER,UNLOCKED,152,2.3
2025-01-01,INTERACTIVE_VOICE_RESPONSE,UNLOCKED,871,13.18
2025-01-01,SUPPORT,UNLOCKED,745,11.27
2025-01-01,TIME,UNLOCKED,4078,61.71
